2023-11-19 20:16 before_fed Round:  31 | Epochs: 155 | Domain: c | loss: 0.2199 | Acc: 94.09%
2023-11-19 20:16 before_fed Round:  31 | Epochs: 155 | Domain: s | loss: 0.1359 | Acc: 95.23%
2023-11-19 20:16 after_fed Round:  31 | Epochs: 155 | Domain: a | loss: 0.4479 | Acc: 85.10%
2023-11-19 20:16 after_fed Round:  31 | Epochs: 155 | Domain: c | loss: 0.3224 | Acc: 90.30%
2023-11-19 20:16 after_fed Round:  31 | Epochs: 155 | Domain: s | loss: 0.1559 | Acc: 94.22%
2023-11-19 20:16 test_domain Round:  31 | Epochs: 155 | Domain: p | loss: 0.2481 | Acc: 92.51%
2023-11-19 20:16 before_fed Round:  32 | Epochs: 160 | Domain: a | loss: 0.2809 | Acc: 94.23%
2023-11-19 20:16 before_fed Round:  32 | Epochs: 160 | Domain: c | loss: 0.1850 | Acc: 96.20%
2023-11-19 20:17 before_fed Round:  32 | Epochs: 160 | Domain: s | loss: 0.1654 | Acc: 95.73%
2023-11-19 20:17 after_fed Round:  32 | Epochs: 160 | Domain: a | loss: 0.4304 | Acc: 88.94%
2023-11-19 20:17 after_fed Round:  32 | Epochs: 160 | Domain: c | loss: 0.2776 | Acc: 92.41%
2023-11-19 20:17 after_fed Round:  32 | Epochs: 160 | Domain: s | loss: 0.1718 | Acc: 93.72%
2023-11-19 20:17 test_domain Round:  32 | Epochs: 160 | Domain: p | loss: 0.2605 | Acc: 92.81%
2023-11-19 20:17 before_fed Round:  33 | Epochs: 165 | Domain: a | loss: 0.2834 | Acc: 92.31%
2023-11-19 20:17 before_fed Round:  33 | Epochs: 165 | Domain: c | loss: 0.1956 | Acc: 94.94%
2023-11-19 20:18 before_fed Round:  33 | Epochs: 165 | Domain: s | loss: 0.1495 | Acc: 95.23%
2023-11-19 20:18 after_fed Round:  33 | Epochs: 165 | Domain: a | loss: 0.4232 | Acc: 87.50%
2023-11-19 20:18 after_fed Round:  33 | Epochs: 165 | Domain: c | loss: 0.4137 | Acc: 89.03%
2023-11-19 20:18 after_fed Round:  33 | Epochs: 165 | Domain: s | loss: 0.1870 | Acc: 94.22%
2023-11-19 20:18 test_domain Round:  33 | Epochs: 165 | Domain: p | loss: 0.2664 | Acc: 92.87%
2023-11-19 20:18 before_fed Round:  34 | Epochs: 170 | Domain: a | loss: 0.2885 | Acc: 94.23%
2023-11-19 20:18 before_fed Round:  34 | Epochs: 170 | Domain: c | loss: 0.1894 | Acc: 94.51%
